,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
174,saldanha,85,ZA,1586622956,73,-33.01,17.94,21.0,3.6
175,balabac,2,PH,1586623430,81,7.99,117.06,27.09,2.97
176,hobart,40,AU,1586623018,57,-42.88,147.33,11.0,7.2
177,vanavara,21,RU,1586623473,94,60.34,102.28,-2.85,1.7
178,berlevag,95,NO,1586623191,89,70.86,29.09,-3.77,2.96
179,berezovyy,82,RU,1586623473,75,51.67,135.7,2.24,1.19
180,castro,63,BR,1586622912,42,-24.79,-50.01,21.81,1.42
181,havre,17,FR,1586623473,46,49.58,0.33,23.33,3.1
182,black diamond,90,US,1586623473,81,47.31,-122.0,9.44,1.5
183,maraba,75,BR,1586623473,62,-5.37,-49.12,32.0,2.6
184,arraial do cabo,75,BR,1586623162,78,-22.97,-42.03,24.0,3.1
185,zabol,95,AF,1586623473,33,32.25,67.25,15.15,2.79
186,great falls,90,US,1586623474,85,47.5,-111.3,-2.78,11.3
187,pinawa,99,CA,1586623474,76,50.15,-95.88,0.54,5.74
188,proti,23,GR,1586623474,55,40.95,24.0,20.56,1.5
189,dunedin,78,NZ,1586622999,96,-45.87,170.5,10.56,1.34
190,port moresby,40,PG,1586623192,94,-9.44,147.18,26.0,1.5
191,blyznyuky,87,UA,1586623474,61,48.86,36.56,6.35,5.48
192,muroto,100,JP,1586623474,78,33.28,134.15,11.43,5.59
193,northam,58,GB,1586623092,65,51.03,-4.22,19.44,1.79
194,uige,84,AO,1586623474,70,-7.61,15.06,22.05,0.71
195,kaka,81,TM,1586623475,70,37.35,59.61,16.02,2.65
196,pevek,98,RU,1586623166,93,69.7,170.31,-14.73,6.26
197,kruisfontein,100,ZA,1586622960,55,-34.0,24.73,18.03,1.26
198,itoman,75,JP,1586623475,94,26.12,127.67,20.0,6.2
199,saint anthony,1,US,1586623244,32,45.02,-93.22,13.33,1.5
200,talnakh,75,RU,1586623167,97,69.49,88.4,0.0,18.0
201,chara,98,RU,1586623475,60,56.91,118.26,1.0,0.77
202,phultala,6,BD,1586623475,81,22.7,89.52,24.95,3.21
203,port hardy,40,CA,1586623169,81,50.7,-127.42,8.0,3.1
204,washington,75,US,1586623208,43,47.5,-120.5,11.67,3.6
205,ormara,77,PK,1586623294,74,25.21,64.64,25.85,3.96
206,charcas,91,MX,1586623476,12,23.13,-101.12,25.42,6.84
207,nishihara,75,JP,1586623099,93,26.18,127.76,20.0,2.6
208,asau,80,RO,1586622914,24,46.43,26.4,15.0,4.1
209,emerald,43,AU,1586623476,46,-23.53,148.17,22.0,4.1
210,bandarbeyla,2,SO,1586623476,72,9.49,50.81,27.57,5.76
211,tharad,9,IN,1586623476,24,24.4,71.63,31.26,3.82
212,jamkhandi,38,IN,1586623476,29,16.52,75.3,26.51,1.07
213,klyuchi,1,RU,1586623477,62,52.27,79.17,5.22,3.5
214,vanimo,66,PG,1586623477,84,-2.67,141.3,26.42,0.72
215,kalmunai,15,LK,1586623170,77,7.42,81.82,27.77,2.73
216,natal,40,BR,1586623189,70,-5.79,-35.21,32.0,7.2
217,esperance,81,AU,1586623096,68,-33.87,121.9,20.0,6.2
218,qasigiannguit,75,GL,1586623194,51,68.82,-51.19,3.0,4.6
219,lagoa,0,PT,1586623109,70,39.05,-27.98,16.56,4.76
220,mount isa,25,AU,1586623186,24,-20.73,139.5,22.0,3.6
221,tiksi,28,RU,1586623477,94,71.69,128.87,-8.05,7.79
222,viedma,100,AR,1586623477,55,-40.81,-63.0,18.81,8.86
223,teixeira,54,BR,1586623477,46,-7.22,-37.25,28.31,3.47
224,verkhnevilyuysk,97,RU,1586623478,96,63.45,120.32,-0.61,3.87
225,havoysund,100,NO,1586623478,86,71.0,24.66,-2.0,1.0
226,taoudenni,0,ML,1586623478,7,22.68,-3.98,37.94,1.73
227,ilorin,93,NG,1586623188,25,8.5,4.55,33.66,3.44
228,lakes entrance,80,AU,1586623205,73,-37.88,147.98,13.43,9.42
229,manokwari,83,ID,1586623171,70,-0.87,134.08,27.18,0.92
230,jalu,49,LY,1586623478,26,29.03,21.55,19.51,3.94
231,yaqui,5,MX,1586623478,52,27.37,-110.17,18.0,1.5
232,mato verde,38,BR,1586623478,62,-15.4,-42.87,27.91,0.07
233,montefiascone,0,IT,1586623478,33,42.54,12.04,23.33,4.1
234,mongo,94,TD,1586623479,13,12.18,18.69,34.44,4.19
235,marieville,90,CA,1586623479,51,45.43,-73.17,5.0,8.7
